"Identificacao_do_veiculo";"Cidade";"Local";"Org";"Org_2";"Org_3";"Tipo_Protesto";"N_Part";"Confronto_entre_manifestantes";"Depredacao";"Presenca_policia";"Repressao_policial";"Detidos";"Feridos";"Mortos";"Obs"
"20030206FSPA09_2";"Brasília";"frente_palacio_planalto";"Movimento da Cidadania contra a Corrupção do DF";;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20030321FSPA10_1";"Salvador";"salvador";"União Nacional dos Estudantes";;;"Passeata/Marcha/Ato";500;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20030509FSPA11_1";"Redenção";"funai";;;;"Ocupação de Órgão Público";70;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20030813FSPC04_3";"Porto Ferreira";"dentro_camara_vereadores";;;;"Passeata/Marcha/Ato";101;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20030817FSPB05_1";"São Paulo";"av_paulista";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20030902FSPA10_1";"Brasília";"brasilia";;;;"Passeata/Marcha/Ato";50;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20031020FSPA05_1";"Brasília";"show_em_brasilia";;;;"Escracho";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20040122FSPA04_1";"Brasília";"dentro_camara_deputados";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20040214FSPA08_2";"Rio de Janeiro";"frente_hotel_gloria";"Partido Democrático dos Trabalhadores";;;"Passeata/Marcha/Ato";250;"NM";"NM";"Sim";"Sim";"NM";"NM";"NM";
"20040227FSPA05_1";"Brasília";"brasilia";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20040227FSPA05_1";"Porto Alegre do Tocantins";"porto_alegre";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20040227FSPA05_1";"Santos";"santos";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20040227FSPA05_1";"São Paulo";"sao_paulo";"Força Sindical";;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20040310FSPC04_1";"Alfenas";"auto_escola_do_prefeito";;;;"Depredação";99;"NM";"Sim";"NM";"NM";"NM";"NM";"NM";
"20040310FSPC04_1";"Alfenas";"casa_do_prefeito";;;;"Depredação";99;"NM";"Sim";"NM";"NM";"NM";"NM";"NM";
"20040310FSPC04_1";"Alfenas";"frente_a_camara";;;;"Depredação";99;"NM";"Sim";"Sim";"NM";"NM";"NM";"NM";
"20040319FSPA05_1";"Recife";"recife";"Força Sindical";;;"Passeata/Marcha/Ato";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20040608FSPA05_1";"Salvador";"frente_hospital_santo_antonio";"Partido Socialista Dos Trabalhadores Unificados";"Força Sindical";;"Passeata/Marcha/Ato";120;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20040706FSPA06_1";"São Paulo";"dentro_puc_sp";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20040710FSPA06_1";"São Paulo";"dentro_parque_iburapuera";"Diretório Central dos Estudantes da USP";;;"Passeata/Marcha/Ato";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20040928FSPA05_1";"São Paulo";"praca_da_se";"Partido Socialista Dos Trabalhadores Unificados";"Central Única dos Trabalhadores";"Sindicato dos Bancários";"Passeata/Marcha/Ato";200;"Sim";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050109FSPA07_1";"São Paulo";"av_paulista";;;;"Passeata/Marcha/Ato";2;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050111FSPA07_1";"Maranhão";"maranhao";"Partido dos Trabalhadores";;;"Abaixo-Assinado";48;"NM";"Não";"Não";"Não";"Não";"Não";"Não";
"20050302FSPA05_1";"São Paulo";"av_paulista";"Partido dos Trabalhadores";;;"Panelaço";37;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050303FSPA04_1";"Brasília";"camara_dos_deputados";"Central Única dos Trabalhadores";"Força Sindical";"Social Democracia Sindical";"Escracho";500;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050323FSPA08_2";"Cidade Ocidental";"camara";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"Sim";"Sim";"NM";"NM";"NM";
"20050328FSPA06_1";"Brasil";"internet";"Convocado pela Internet";;;"Vários";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050502FSPA06_1";"São Paulo";"sao_paulo";"Força Sindical";;;"Escracho";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050517FSPA06_1";"Porto Velho";"assembleia_legislativa";;;;"Passeata/Marcha/Ato";100;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050517FSPA06_1";"Porto Velho";"tribunal_de_justica";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050519FSPA15_1";"Porto Velho";"assembleia_legislativa";"Central Única dos Trabalhadores";"Anarquistas";"União Municipal dos Estudantes Secundaristas";"Passeata/Marcha/Ato";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050520FSPA13_1";"Porto Velho";"palacio_do_governo";"União Nacional dos Estudantes";;;"Passeata/Marcha/Ato";200;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050521FSPA08_1";"Campos";"campos";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050526FSPA08_1";"Brasília";"correios";;;;"Intervenção Artistíca/Simbólica";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050602FSPA06_1";"Brasília";"correios";"Confederação dos Trabalhadores no Serviço Público Federal";;;"Intervenção Artistíca/Simbólica";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050607FSPA06_1";"Brasília";"frente_palacio_planalto";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050610FSPA06_1";"São Paulo";"sede_seccional_oab";"Ordem dos Advogados do Brasil";"Força Sindical";;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050611FSPA14_1";"Brasília";"frente_palacio_planalto";"União Nacional de Esposas de Militares das Forças Armadas";;;"Passeata/Marcha/Ato";60;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050617FSPA15_1";"São Paulo";"praca_da_se";;;;"Passeata/Marcha/Ato";150;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050620FSPA06_1";"Rio de Janeiro";"leme";;;;"Passeata/Marcha/Ato";7;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050629FSPB08_1";"Brasília";"esplanada_dos_ministerios";"Confederação da Agricultura e Pecuária do Brasil";;;"Passeata/Marcha/Ato";6500;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050630FSPB01_1";"Brasília";"esplanada_dos_ministerios";"Partido Socialismo e Liberdade";"Conferderação da Agricultura e Pecuárioa do Brasil";;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050702FSPA13_1";"Goiânia";"praca_civica";"Coodernação de Movimentos Sociais";"União Nacional dos Estudantes";"Movimento dos Trabalhadores Rurais Sem Terra";"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050702FSPA13_1";"Goiânia";"praca_universitaria";"Coodernação de Movimentos Sociais";"União Nacional dos Estudantes";"Movimento dos Trabalhadores Rurais Sem Terra";"Passeata/Marcha/Ato";18500;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050706FSPA07_1";"São Paulo";"diretorio_do_pt";"Sindicado dos Metalúrgicos de São José dos Campos";"Movimento Urbano Sem-Teto";"Conlutas";"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050708FSPA08_1";"Rio Grande do Sul";"sindicato_servidores";"Sindicato dos Servidores Públicos";;;"Intervenção Artistíca/Simbólica";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050708FSPA08_1";"São Paulo";"frente_forum_justica_federal_av_paulista";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050710FSPA10_1";"São Paulo";"frente_desfile_revolucao_32";"Mulheres da Verdade";;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050711FSPB03_1";"São Paulo";"sao_paulo";"Força Sindical";;;"Passeata/Marcha/Ato";2000;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050713FSPA09_1";"Rio de Janeiro";"centro";"Confraria Garoto";;;"Escracho";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050715FSPA14_1";"Rio de Janeiro";"frente_banco_rural_centro";"Sindicato dos Trabalhadores em Saúde, Trabalho e Previdência";"Partido Socialista Dos Trabalhadores Unificados";"Conlutas";"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050715FSPB05_1";"Brasília";"frente_ministerio_fazenda";"Sindicato dos Trabalhadores em Saúde, Trabalho e Previdência";"Sindicato dos Trabalhadores do Serviço Público Federal";;"Greve de Categoria";80;"NM";"Sim";"NM";"NM";"NM";"NM";"NM";
"20050719FSPB04_1";"São Paulo";"sede_fiesp";"Federação das Indústrias do Estado de São Paulo";"Ordem dos Advogados do Brasil";"Força Sindical";"Abaixo-Assinado";87;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050720FSPA08_2";"Taubaté";"frente_fabrica_lg";"Sindicato dos Metalúrgicos de São José dos Campos";"Partido Socialismo e Liberdade";"Partido Socialista Dos Trabalhadores Unificados";"Passeata/Marcha/Ato";150;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050721FSPA11_1";"Recife";"ufpe";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050721FSPB09_1";"Brasília";"brasilia";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050726FSPA06_1";"Curitiba";"ufpr";"Movimento dos Trabalhadores Rurais Sem Terra";"Central Única dos Trabalhadores";;"Passeata/Marcha/Ato";300;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050728FSPA04_1";"Porto Alegre";"esquina_democrativa";"Partido Socialismo e Liberdade";"Partido Socialista Dos Trabalhadores Unificados";;"Passeata/Marcha/Ato";2000;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050728FSPA06_1";"Brasília";"esplanada_dos_ministerios";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050729FSPA09_1";"Porto Alegre";"hotel_no_centro";"Partido Socialismo e Liberdade";"Partido Socialista Dos Trabalhadores Unificados";;"Passeata/Marcha/Ato";50;"NM";"NM";"Sim";"Sim";"Sim";"NM";"NM";
"20050729FSPA09_1";"Rio de Janeiro";"av_rio_branco";"Partido Comunista do Brasil";"Partido Socialismo e Liberdade";"Partido Socialista Dos Trabalhadores Unificados";"Passeata/Marcha/Ato";100;"NM";"Sim";"Sim";"Sim";"NM";"Sim";"NM";
"20050730FSPC08_1";"São Paulo";"zona_norte";;;;"Greve de Categoria";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050804FSPA04_1";"Teresina";"vila_irma_dulce";"Conlutas";"Partido Socialismo e Liberdade";;"Passeata/Marcha/Ato";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050804FSPA05_1";"Teresina";"teresina";"Partido Socialismo e Liberdade";"Partido Socialista Dos Trabalhadores Unificados";;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050805FSPA10_1";"Porto Alegre";"porto_alegre";"Partido Comunista do Brasil";"União da Juventude Socialista";"União Nacional dos Estudantes";"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050806FSPA07_1";"São Paulo";"diretorio_nacional_do_PT";"Partido dos Trabalhadores";"União Nacional dos Estudantes";;"Passeata/Marcha/Ato";600;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050806FSPA08_1";"Fortaleza";"centro";"Movimento Unificado pela Democracia e Ética Política";"Partido Democrático dos Trabalhadores";"Partido Socialismo e Liberdade";"Passeata/Marcha/Ato";1000;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050809FSPA06_1";"São Paulo";"largo_sao_francisco";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050812FSPA05_1";"Porto Alegre";"ufgrs";;;;"Passeata/Marcha/Ato";2000;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050813FSPA10_2";"Belo Horizonte";"frente_palacio_governo";"Coodernação de Movimentos Sociais";;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050813FSPA10_2";"Vitória";"vitoria";"Central Única dos Trabalhadores";"Associação dos Amigos dos Autistas do Espírito Santo";"Federação Nacional de Sindicato de trabalhadores em saúde, trabalho, previdência e assistência social";"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050816FSPA05_1";"Brasília";"frente_palacio_planalto";"União Nacional de Esposas de Militares das Forças Armadas";;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050817FSPA09_1";"Brasília";"esplanada_dos_ministerios";"Central Única dos Trabalhadores";"Movimento dos Trabalhadores Rurais Sem Terra";"União Nacional dos Estudantes";"Passeata/Marcha/Ato";10000;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050817FSPA09_2";"Brasília";"frente_catedral_metropolitana";"Alunos colégio Sigma";;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050818FSPA06_1";"Brasília";"frente_congresso_nacional";"Partido Socialismo e Liberdade";"Partido Socialista Dos Trabalhadores Unificados";"Partido da Reedificação da Ordem Nacional";"Passeata/Marcha/Ato";12000;"NM";"NM";"Sim";"Não";"NM";"NM";"NM";
"20050819FSPA07_1";"São Paulo";"vao_do_masp";"Força Sindical";"Central Autônoma dos Trabalhadores";"Ordem dos Advogados do Brasil";"Passeata/Marcha/Ato";2000;"NM";"NM";"Sim";"Sim";"NM";"NM";"NM";
"20050825FSPA08_1";"Rio de Janeiro";"dentro_loja_ipanema";;;;"Intervenção Artistíca/Simbólica";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050825FSPB04_1";"São Paulo";"centro";"Força Sindical";;;"Passeata/Marcha/Ato";1500;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050827FSPA04_2";"Quixadá";"quixada";;;;"Passeata/Marcha/Ato";99;"Sim";"NM";"NM";"NM";"NM";"NM";"NM";
"20050901FSPA09_1";"São Paulo";"faculdade_direito_usp";"Ordem dos Advogados do Brasil";"Confederação Nacional dos Bispos do Brasil";"Instituto dos Advogados de SP";"Abaixo-Assinado";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050902FSPA11_1";"Taubaté";"taubate";"Partido Social Cristão";"Partido Socialista Dos Trabalhadores Unificados";;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050902FSPA12_1";"Goiânia";"frente_diretorio_nacional_pt";"Partido dos Trabalhadores";;;"Intervenção Artistíca/Simbólica";20;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050903FSPA04_1";"Rio de Janeiro";"centro";"Partido dos Trabalhadores";"Trabalhadores do IBGE";;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050903FSPA16_1";"São Paulo";"frente_diretorio_nacional_pt";"Partido dos Trabalhadores";;;"Intervenção Artistíca/Simbólica";40;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050907FSPA15_1";"São Paulo";"praca_da_se";"Força Sindical";"Partido da Social Democracia Brasileira";"Partido Verde";"Passeata/Marcha/Ato";2000;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050908FSPA08_1";"Brasília";"desfile";;;;"Escracho";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050908FSPA08_2";"Brasília";"desfile";"Partido Socialista Dos Trabalhadores Unificados";;;"Escracho";99;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050908FSPA08_2";"Vitória";"vitoria";;;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050908FSPA09_1";"São Paulo";"monumento_do_ipiranga";"União Nacional por Moradia Popular";;;"Passeata/Marcha/Ato";99;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050908FSPA09_2";"Aparecida";"basilica";;;;"Passeata/Marcha/Ato";5000;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050908FSPA09_2";"Belém";"belem";"Partido Socialismo e Liberdade";"Partido Socialista Dos Trabalhadores Unificados";;"Passeata/Marcha/Ato";800;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050908FSPA09_2";"Belo Horizonte";"desfile";"Central Única dos Trabalhadores";;;"Passeata/Marcha/Ato";1500;"NM";"NM";"Sim";"NM";"NM";"NM";"NM";
"20050908FSPA09_2";"Curitiba";"curitiba";"Movimento dos Trabalhadores Rurais Sem Terra";;;"Passeata/Marcha/Ato";1500;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050908FSPA09_2";"Fortaleza";"fortaleza";;;;"Passeata/Marcha/Ato";3000;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
"20050908FSPA09_2";"Maceió";"maceio";;;;"Passeata/Marcha/Ato";2000;"NM";"NM";"NM";"NM";"NM";"NM";"NM";
