"Identificacao_do_veiculo";"Codigo_evento";"Data_de_Inicio_do_protesto";"Base_social";"Base_social_2";"Tipo_de_Ocupação";"Alvo_protesto";"Objetivo_1";"Objetivo_2";"Ambito_do_Protesto";"Capilaridade";"Unidade_Capilaridade";"N_Part";"Data_termino_do_protesto";"Obs"
"20030206FSPA09_2";"20030205NMEN01";5/2/2003 00:00:00;"Não Mencionada";;;"Gov. Estadual";"contra_o_governador_do_DF_Roriz_acusado_de_grilagem_de_terra";;"Local";1;"Bairros";99;5/2/2003 00:00:00;
"20030321FSPA10_1";"20030320BSMT01";20/3/2003 00:00:00;"Trabalhadores";"Estudante";"Não Identificada";"Personalidades/Indivíduos Públicos";"Pela_cassacao_do_senador_baiano_Antonio_carlos_magalhaes";"contra_guerra_entre_eua_e_iraque";"Local";1;"Bairros";500;20/3/2003 00:00:00;
"20030509FSPA11_1";"20030808OCUP01";8/5/2003 00:00:00;"Indígenas";;;"Gov. Federal";"Exigir_demissao_de_cinco_funcionarios_que_teriam_desviado_recursos_do_orgao";;"Local";1;"Ocupações";70;;
"20030813FSPC04_3";"20030812TERR01";12/8/2003 00:00:00;"Moradores";;;"Gov. Municipal";"Protestar_contra_vereadores_corruptos";;"Local";1;"Bairros";101;12/8/2003 00:00:00;
"20030817FSPB05_1";"20030815OCUP01";15/8/2003 00:00:00;"Trabalhadores";;"Funcionário Público";"Gov. Federal";"Protestar_contra_a_petizacao_do_banco_do_brasil";;"Local";1;"Bairros";99;15/8/2003 00:00:00;"protestos de aliados do pt que reclamam da petizacao"
"20030902FSPA10_1";"20030901OCUP01";1/9/2003 00:00:00;"Trabalhadores";;"Funcionário Público";"Legislativo";"Protestar_contra_indicacao_de_luiz_otavio_para_ministro_no_tcu";;"Local";1;"Bairros";50;1/9/2003 00:00:00;"luiz otavio e alvo de inquerito no stf"
"20031020FSPA05_1";"20031019NMEN01";19/10/2003 00:00:00;"Não Mencionada";;;"Gov. Federal";"Protestar_contra_a_ministra_Benedita_da_silva";;"Local";1;"Bairros";99;19/10/2003 00:00:00;
"20040122FSPA04_1";"20040121IDEN01";21/1/2004 00:00:00;"Estudante";;;"Legislativo";"Protestar_contra_gastos_com_deputados";;"Local";1;"Bairros";99;21/1/2004 00:00:00;
"20040214FSPA08_2";"20040213POLI01";13/2/2004 00:00:00;"Militantes de Partidos";;;"Gov. Federal";"Ofender_o_presidente_e_o_PT";;"Local";1;"Bairros";250;13/2/2004 00:00:00;"os protestos foram relacionados ao caso do Waldomiro Diniz"
"20040227FSPA05_1";"20040226OCUP01";26/2/2004 00:00:00;"Trabalhadores";;"Trabalhador Urbano do Setor Privado Comércio";"Gov. Federal";"Protestar_contra_fechamento_de_bingos";;"Nacional";3;"Estados";99;26/2/2004 00:00:00;"CPI_sim_o que foi cpi dos bingos"
"20040310FSPC04_1";"20040309TERR01";9/3/2004 00:00:00;"Moradores";;;"Gov. Municipal";"Protestar_contra_prefeito_jose_manso_flagrado_em_video_distribuindo_dinheiro_a_vereadores";;"Municipal";3;"Bairros";99;9/3/2004 00:00:00;
"20040319FSPA05_1";"20040318OCUP01";18/3/2004 00:00:00;"Trabalhadores";;"Trabalhador Urbano do Setor Privado Comércio";"Gov. Federal";"Protestar_contra_o_fechamento_dos_bingos";;"Local";1;"Bairros";99;18/3/2004 00:00:00;"waldomiro e um bom comppanheiro_amigo_de_lula"
"20040608FSPA05_1";"20040607BSMT01";7/6/2004 00:00:00;"Militantes de Partidos";"Trabalhadores";"Não Identificada";"Gov. Federal";"Contra_Lula";"contra_casos_de_corrupcao";"Local";1;"Bairros";120;7/6/2004 00:00:00;
"20040706FSPA06_1";"20040706BSMT01";6/7/2004 00:00:00;"Trabalhadores";;"Funcionário Público";"Outros Grupos da Sociedade";"Tracar_uma_politica_de_comunicacao_em_defesa_do_poder_de_investigacao_do_MP";;"Local";1;"Bairros";99;6/7/2004 00:00:00;
"20040710FSPA06_1";"20040709IDEN01";9/7/2004 00:00:00;"Estudante";;;"Gov. Estadual";"Reivindicavam_audiencia_publica";;"Local";1;"Bairros";99;9/7/2004 00:00:00;
"20040928FSPA05_1";"20040927OCUP01";27/9/2004 00:00:00;"Trabalhadores";;"Funcionário Público";"Judiciário";"contra_oab;contra_lalau";;"Local";1;"Bairros";200;27/9/2004 00:00:00;
"20050109FSPA07_1";"20050108NMEN01";8/1/2005 00:00:00;"Não Mencionada";;;"Gov. Federal";"abuso_de_poder_de_Lula_pelo_uso_avioes_da_FAB_e_lancha_da_marinha";;"Local";1;"Bairros";2;8/1/2005 00:00:00;
"20050111FSPA07_1";"20050110POLI01";10/1/2005 00:00:00;"Militantes de Partidos";;;"Gov. Federal";"contra_a_nomeacao_de_roseana_sarney_como_ministra";;"Estadual";99;"Cidades";48;10/1/2005 00:00:00;
"20050302FSPA05_1";"20050301BSMT01";1/3/2005 00:00:00;"Estudante";"Militantes de Partidos";;"Legislativo";"contra_o_aumento_do_salario_de_deputados_e_senadores";;"Local";1;"Bairros";37;1/3/2005 00:00:00;
"20050303FSPA04_1";"20050302OCUP01";2/3/2005 00:00:00;"Trabalhadores";;"Não Identificada";"Legislativo";"contra_severino";"contra_aumento_salario_de_palamentares";"Local";1;"Bairros";500;2/3/2005 00:00:00;
"20050323FSPA08_2";"20050322NMEN01";22/3/2005 00:00:00;"Não Mencionada";;;"Gov. Municipal";"contra_o_decreto_que_permite_ao_prefeito_decimo_13_14_e_15";;"Local";1;"Bairros";99;22/3/2005 00:00:00;
"20050328FSPA06_1";"20050327NMEN01";27/3/2005 00:00:00;"Não Mencionada";;;"Legislativo";"campanha_nacional_contra_a_farra_no_congresso";"contra_severino";"Nacional";99;"Bairros";99;;"emailaco;ciberativismo;classificaria como autonomistas, citam movimento antiglobalizacao"
